Original Description,Original Statute,Corrected Statute,Charge Class,Other Class Possible,Standardized Description,Notes,Type
HOME REPAIR FRAUD <$1K/2ND,815 ILCS 515/4(a),815 ILCS 515/4(a)(2+),F4,,HOME REPAIR FRAUD,,
AGG HOME REPAIR FRAUD >$1K/2ND,815 ILCS 515/5(a),815 ILCS 515/5(a)(2+),F2,,HOME REPAIR FRAUD: AGGRAVATED,,
ID THEFT/$2K-$10K/MILITARY VIC,720 ILCS 5/16-30(a)(1),"720 ILCS 5/16-30(a)(1)(e1A-iii, military)",F1,,IDENTITY THEFT,,
IDENTITY THEFT/$10K - $100K,720 ILCS 5/16-30(a)(1),720 ILCS 5/16-30(a)(1)(e1A-iv),F1,,IDENTITY THEFT,,
IDENTITY THEFT/$2K-$10K,720 ILCS 5/16-30(a)(1),720 ILCS 5/16-30(a)(1)(e1A-iii),F2,,IDENTITY THEFT,,
"IDENTITY THEFT $2,000<$10,000",720 ILCS 5/16G-15(a)(1),720 ILCS 5/16-30(a)(1)(e1A-iii),F2,,IDENTITY THEFT,,
ID THFT/OBTAIN ID/FEL/3+ INDIV,720 ILCS 5/16-30(a)(3),720 ILCS 5/16-30(a)(3)(multiple),F2,,IDENTITY THEFT,,
ID THFT/STOLEN ID/FEL/3+ INDIV,720 ILCS 5/16-30(a)(4),720 ILCS 5/16-30(a)(4)(multiple),F2,,IDENTITY THEFT,,
ID THEFT/KNOW ID STOL/MLTY VIC,720 ILCS 5/16-30(a)(4),720 ILCS 5/16-30(a)(4)(multiple),F2,,IDENTITY THEFT,,
IDENTITY THEFT/<$300/2+,720 ILCS 5/16-30(a)(1),"720 ILCS 5/16-30(a)(1)(e1A-i, 2+)",F3,,IDENTITY THEFT,,
IDENTITY THEFT/$300-$2000,720 ILCS 5/16-30(a)(1),720 ILCS 5/16-30(a)(1)(e1A-ii),F3,,IDENTITY THEFT,,
"IDENTITY THEFT $300<$2,000",720 ILCS 5/16G-15(a)(1),720 ILCS 5/16-30(a)(1)(e1A-ii),F3,,IDENTITY THEFT,,
ID THEFT/USE ID/COMMIT FELONY,720 ILCS 5/16-30(a)(2),720 ILCS 5/16-30(a)(2),F3,,IDENTITY THEFT,,
ID THFT/OBTAIN INFO/COMMIT FEL,720 ILCS 5/16-30(a)(3),720 ILCS 5/16-30(a)(3),F3,,IDENTITY THEFT,,
IDENTITY THEFT/KNOWS ID STOLEN,720 ILCS 5/16-30(a)(4),720 ILCS 5/16-30(a)(4),F3,,IDENTITY THEFT,,
POSS DOCUMENT MAKING IMPLEMENT,720 ILCS 5/16-30(a)(5),720 ILCS 5/16-30(a)(5),F3,,IDENTITY THEFT,,
IDENTITY THEFT/<$300,720 ILCS 5/16-30(a)(1),720 ILCS 5/16-30(a)(1)(e1A-i),F4,,IDENTITY THEFT,,
ID THFT/USE STOLEN ID,720 ILCS 5/16G-15(a)(4),720 ILCS 5/16-30(a)(1)(e1A-i),F4,,IDENTITY THEFT,,
AGG ID THEFT/10K-100K/DISABLED,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2C),F1,,IDENTITY THEFT: AGGRAVATED,,
AGG ID THEFT/$300-10K/DISABLED,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2B),F2,,IDENTITY THEFT: AGGRAVATED,,
AGG ID THEFT/$300-10K/60 YRS +,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2B),F2,,IDENTITY THEFT: AGGRAVATED,,
AGG ID THFT/ID STOLEN/VIC 60+,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2A),F3,,IDENTITY THEFT: AGGRAVATED,,
ACCESS INFO/DISABLED/3+ INDIV,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2A),F3,,IDENTITY THEFT: AGGRAVATED,,
AGG ID THFT/USE ID INFO/60+,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2A),F3,,IDENTITY THEFT: AGGRAVATED,,
AGG ID THEFT/OBTAIN INFO/60+,720 ILCS 5/16-30(b)(1),720 ILCS 5/16-30(b)(1)(e2A),F3,,IDENTITY THEFT: AGGRAVATED,,
AGGRAVATED DISCHARGE/FIREARM,720 ILCS 5/24-1.2,720 ILCS 5/24-1.2,F1,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/OCC BLDG,720 ILCS 5/24-1.2(a)(1),720 ILCS 5/24-1.2,F1,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/OCC VEH,720 ILCS 5 24-1.2(a)(2) [1214850],720 ILCS 5/24-1.2,F1,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/OCC VEH,720 ILCS 5/24-1.2(a)(2),720 ILCS 5/24-1.2,F1,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCH SILENCER PERSON/VEH,720 ILCS 5/24-1.2-5(a)(2),720 ILCS 5/24-1.2-5,FX,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/OCC BLDG/SCHOOL,720 ILCS 5/24-1.2(a)(1),720 ILCS 5/24-1.2(school),FX,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/BLDG/SCH,720 ILCS 5/24-1.2(a)(1),720 ILCS 5/24-1.2(school),FX,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
AGG DISCHARGE FIREARM/VEH/SCH,720 ILCS 5/24-1.2(a)(2),720 ILCS 5/24-1.2(school),FX,,ILLEGAL DISCHARGE OF A FIREARM: AGGRAVATED,,
FIREARM/FOID INVALID/NO ELIG,430 ILCS 65/2(a)(1),430 ILCS 65/14(c),F3,,ILLEGAL POSSESSION OF A FIREARM,,
FIREARM/FOID INVALID/NOT ELIG,430 ILCS 65/2(a)(1),430 ILCS 65/14(c),F3,,ILLEGAL POSSESSION OF A FIREARM,,
POSS FIREARM FOID REVOKED,430 ILCS 65/2(a)(1),430 ILCS 65/14(c),F3,,ILLEGAL POSSESSION OF A FIREARM,,
UNKNOWN,FIREARM,430 ILCS 65/14(c),F3,,ILLEGAL POSSESSION OF A FIREARM,,
ILLEG POSS AMMUNITION/FOID,430 ILCS 65/2(a)(2),430 ILCS 65/14(c),F3,,ILLEGAL POSSESSION OF A FIREARM,,
POSS FIREARM FOID EXPIRED,430 ILCS 65/2(a)(1),430 ILCS 65/14(a),MA,,ILLEGAL POSSESSION OF A FIREARM,,
POSS FIREARM/NO FOID/ELIGIBLE,430 ILCS 65/2(a)(1),430 ILCS 65/14(b),MA,,ILLEGAL POSSESSION OF A FIREARM,,
FIREARM W/O VALID FOID/ELIG,430 ILCS 65/2(a)(1),430 ILCS 65/14(b),MA,,ILLEGAL POSSESSION OF A FIREARM,,
POSSESS 15+ GRAMS HEROIN,720 ILCS 570/402(a)(1),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 15<100 GRAMS HEROIN,720 ILCS 570/402(a)(1)(A),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 100<400 GRAMS HEROIN,720 ILCS 570/402(a)(1)(B),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 400<900 GRAMS HEROIN,720 ILCS 570/402(a)(1)(C),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 900 + GRAMS HEROIN,720 ILCS 570 402(a)(1)(D) [5100050],720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 900 + GRAMS HEROIN,720 ILCS 570/402(a)(1)(D),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 30+ GRAMS PCP,720 ILCS 570/402(a)(10),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSS 200+ GR OTHER SCHED I&II,720 ILCS 570/402(a)(11),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 15+ GRAMS COCAINE,720 ILCS 570/402(a)(2),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
PCS - 15+ GRAMS - COCAINE,,720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 15<100 GRAMS COCAINE,720 ILCS 570/402(a)(2)(A),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 100<400 GRAMS COCAINE,720 ILCS 570/402(a)(2)(B),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 900 + GRAMS COCAINE,720 ILCS 570/402(a)(2)(D),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 200+ GR AMPHETAMINE,720 ILCS 570 402(a)(6) [11997],720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSS 15>200 PILLS ECSTASY/ANLG,720 ILCS 570/402(a)(7.5)(A)(ii),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSSESS 30+ GRAMS METHAQUALONE,720 ILCS 570/402(a)(9),720 ILCS 570/402(a),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
OTHER AMOUNT CON/COUNT SUB,720 ILCS 570/402(b),720 ILCS 570/402(b),F1,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSS AMT CON SUB EXCEPT(A)/(D),720 ILCS 570 402(c) [5101110],720 ILCS 570/402(c),F4,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
POSS AMT CON SUB EXCEPT(A)/(D),720 ILCS 570/402(c),720 ILCS 570/402(c),F4,,ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,,
FLS PERSONATN/PEACE OFFICER,720 ILCS 5 17-2(b)(3) [16274],720 ILCS 5/17-2(b)(3),F4,,IMPERSONATION AN OFFICER OF THE PEACE,,
FLS PERSONATN/PEACE OFFICER,720 ILCS 5/17-2(b)(3),720 ILCS 5/17-2(b)(3),F4,,IMPERSONATION AN OFFICER OF THE PEACE,,
FLS PERSONATN/RELATION PUB EMP,720 ILCS 5/17-2(b)(7),720 ILCS 5/17-2(b)(7),MA,,IMPERSONATION AN OFFICER OF THE PEACE,,
FRAUDULENT AD/SOLICIT BUSINESS,720 ILCS 5/17-2(c)(1),720 ILCS 5/17-2(c)(1),PETTY,,IMPERSONATION AN OFFICER OF THE PEACE,,
IND SOL ADULT/13<17/PENETRATE,720 ILCS 5/11-6.5(a)(1)(ii),720 ILCS 5/11-6.5(a)(1)(ii),F1,,INDECENT SOLICITATION,,
INDECENT SOL/AGG CRIM SEX AB,720 ILCS 5/11-6(a),720 ILCS 5/11-6(agg abuse),F3,,INDECENT SOLICITATION,,
INTENT/HOMICIDE/UNBORN CHILD,720 ILCS 5/9-1.2,720 ILCS 5/9-1.2,FX,,INTENTIONAL HOMICIDE OF AN UNBORN CHILD ,,
INTENT/HOMICIDE/UNBORN CHILD,720 ILCS 5/9-1.2(a)(2),720 ILCS 5/9-1.2,FX,,INTENTIONAL HOMICIDE OF AN UNBORN CHILD ,,
INTERFERE W/ MESSAGE,720 ILCS 360/1,720 ILCS 360/1,MA,,INTERFERENCE WITH A TELEPHONE MESSAGE,,
INTIMIDATION/PHYSICAL HARM,720 ILCS 5/12-6(a)(1),720 ILCS 5/12-6,F3,,INTIMIDATION,,
INTIMIDATION/RESTRAIN/CONFINE,720 ILCS 5/12-6(a)(2),721 ILCS 5/12-6,F3,,INTIMIDATION,,
INTIMIDATION/ACCUSE OF OFFENSE,720 ILCS 5/12-6(a)(4),721 ILCS 5/12-6,F3,,INTIMIDATION,,
INTIMIDATION/CONTEMPT/RIDICULE,720 ILCS 5/12-6(a)(5),721 ILCS 5/12-6,F3,,INTIMIDATION,,
INTIMIDATION/PUBLIC OFFICIAL,720 ILCS 5/12-6(a)(6),721 ILCS 5/12-6,F3,,INTIMIDATION,,
AGG INTIMIDATION PEACE OFFICER,720 ILCS 5/12-6.2(a)(3),720 ILCS 5/12-6.2(a)(3),F2,,INTIMIDATION: AGGRAVATED,,
REGIS EXPIRATION/1ST & 2ND,625 ILCS 5 3-413(f) [5615200],625 ILCS 5/3-413(f),NONE,,INVALID REGISTRATION,,
REGIS EXPIRATION/1ST & 2ND,625 ILCS 5/3-413(f),625 ILCS 5/3-413(f),NONE,,INVALID REGISTRATION,,
NO VALID REGIS/1ST AND 2ND,625 ILCS 5/3-701(1),625 ILCS 5/3-701(1),NONE,,INVALID REGISTRATION,,
INVOL MANSLAUGHTER/FAMILY MBR,720 ILCS 5/9-3(a),720 ILCS 5/9-3(a)(f),F2,,INVOLUNTARY MANSLAUGHTER,,
INVOLUNTARY MANSLAUGHTER,720 ILCS 5/9-3(a),720 ILCS 5/9-3(a),F3,,INVOLUNTARY MANSLAUGHTER,,
INVOL SERV/THREATEN PHY HARM,720 ILCS 5/10-9(b)(1),720 ILCS 5/10-9(b)(1),FX,,INVOLUNTARY SERVICE,,
INVOL SEX SERV MINOR AGE 17-18,720 ILCS 5/10-9(c)(1),720 ILCS 5/10-9(c)(1),FX,,INVOLUNTARY SERVICE,,
INVOL SEX SERV MINOR < 17,720 ILCS 5/10-9(c)(2),720 ILCS 5/10-9(c)(2),FX,,INVOLUNTARY SERVICE,,
AGG INVOL SERV/THREAT PHY HARM,720 ILCS 5/10-9(b)(1),720 ILCS 5/10-9(b)(1),FX,,INVOLUNTARY SERVICE: AGGRAVATED,,
KIDNAPING/FORCE OR THREAT,720 ILCS 5/10-1(a)(2),720 ILCS 5/10-1,F2,,KIDNAPPING,,
KIDNAPING PRIOR TO 9/5/75,720 ILCS 5/10-1(a)(3),720 ILCS 5/10-1,F2,,KIDNAPPING,,
KIDNAPING/DECEIT OR ENTICE,720 ILCS 5/10-1(a)(3),720 ILCS 5/10-1,F2,,KIDNAPPING,,
AGGRAVATED KIDNAPING/RANSOM,720 ILCS 5/10-2(a)(1),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPG/<13/INTEL DISABL,720 ILCS 5/10-2(a)(2),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPG/CHILD<13/RETARDED,720 ILCS 5/10-2(a)(2),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGGRAVATED KIDNAPING:PERSON UNDER 13 OR RETARDED,720 ILCS 5/10-2(a)(2),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPING/INFLICT HARM,720 ILCS 5/10-2(a)(3),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPING/CONCEAL IDENTITY,720 ILCS 5/10-2(a)(4),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGGRAVATED KIDNAPING/ARMED,720 ILCS 5/10-2(a)(5),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPING ARMED W/FIREARM,720 ILCS 5/10-2(a)(6),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
AGG KIDNAPING DISCH FIREARM,720 ILCS 5/10-2(a)(7),720 ILCS 5/10-2,FX,,KIDNAPPING: AGGRAVATED,,
LEAVING THE SCENE,625 ILCS 5/11-402(a),625 ILCS 5/11-402(a),MA,,LEAVING THE SCENE OF AN ACCIDENT,,
VIOL LIQUOR CONTROL ACT,235 ILCS 5/6-16(a),235 ILCS 5/6-16(a),MA,4,LIQUOR TO A MINOR,Class 4 if a death occurs as a result,
LIQUOR TO MINOR/PRIV RESIDENCE,235 ILCS 5/6-16(c),235 ILCS 5/6-16(c),MA,,LIQUOR TO A MINOR,,
PURCHASE/POSSESS LIQUOR/MINOR,235 ILCS 5/6-20(d),235 ILCS 5/6-20(d),MA,,LIQUOR TO A MINOR,,
MFG/DEL CANNABIS/2000<5000 GR,720 ILCS 550/5(f),720 ILCS 550/5(f),F1,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CAN 30<500 GRAMS/SCH,720 ILCS 550/5.2(b),720 ILCS 550/5.2(b),F2,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN >500 GRAMS/SCHOOL,720 ILCS 550/5(e),720 ILCS 550/5(e),F2,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CANNABIS/500<2000 GR,720 ILCS 550/5(e),720 ILCS 550/5(e),F2,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CANNABIS/>500 GRAMS,720 ILCS 550/5(e),720 ILCS 550/5(e),F2,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CAN 10<30 GRAMS/SCH,720 ILCS 550/5.2(c),720 ILCS 550/5.2(c),F3,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CANNABIS/30-500 GRAMS,720 ILCS 550 5(d) [5020300],720 ILCS 550/5(d),F3,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN 30-500 GRAMS/SCH,720 ILCS 550/5(d),720 ILCS 550/5(d),F3,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CANNABIS/30-500 GRAMS,720 ILCS 550/5(d),720 ILCS 550/5(d),F3,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CAN 2.5<10 GRAMS/SCH,720 ILCS 550 5.2(d) [10365],720 ILCS 550/5.2(d),F4,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN 2.5<10 GRAMS/SCH,720 ILCS 550/5.2(d),720 ILCS 550/5.2(d),F4,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CAN 2.5<10 GRAMS/SCH,720 ILCS 550/5.2(d),720 ILCS 550/5.2(d),F4,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN 10-30 GRAMS/SCH,720 ILCS 550/5(c),720 ILCS 550/5(c),F4,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CANNABIS/10-30 GRAMS,720 ILCS 550/5(c),720 ILCS 550/5(c),F4,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CANNABIS/2.5-10 GRAMS,720 ILCS 550/5(b),720 ILCS 550/5(b),MA,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN 2.5-10 GRAMS/SCH,720 ILCS 550/5(b),720 ILCS 550/5(b),MA,,MANUFACTURE / DEALING: CANNABIS,,
MANU/DEL CAN <2.5 GRAMS/SCHOOL,720 ILCS 550/5(a),720 ILCS 550/5(a),MB,,MANUFACTURE / DEALING: CANNABIS,,
MFG/DEL CANNABIS< 2.5 GRAMS,720 ILCS 550/5(a),720 ILCS 550/5(a),MB,,MANUFACTURE / DEALING: CANNABIS,,
"MFG/DEL CANNABIS/>5,000 GRAMS",720 ILCS 550/5(g),720 ILCS 550/5(g),FX,,MANUFACTURE / DEALING: CANNABIS,,
AMT NARC SCHED I/II/SCH/HS/PK,720 ILCS 570 407(b)(2) [5125392],720 ILCS 570/407(b)(2),F1,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
AMT NARC SCHED I/II/SCH/HS/PK,720 ILCS 570/407(b)(2),720 ILCS 570/407(b)(2),F1,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
NON NARC SCHED I/II/SC/HS/PK,720 ILCS 570/407(b)(3),720 ILCS 570/407(b)(3),F2,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
AMT SCHED III/SCH/PUB HS/PK,720 ILCS 570 407(b)(4) [5125394],720 ILCS 570/407(b)(4),F2,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
AMT SCHED III/SCH/PUB HS/PK,720 ILCS 570/407(b)(4),720 ILCS 570/407(b)(4),F2,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL SCHED IV/SCH/PUB/PK,720 ILCS 570/407(b)(5),720 ILCS 570/407(b)(5),F2,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
POSS ANY SUB WITH INTENT,720 ILCS 570/401.5(a-5),720 ILCS 570/401.5(a-5),F4,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 15/+ GR HEROIN/ANALOG,720 ILCS 570/401(a)(1),720 ILCS 570/401(a)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 15<100 GR HEROIN/ANLG,720 ILCS 570/401(a)(1)(A),720 ILCS 570/401(a)(1)(A),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 100<400 GR HERO/ANLG,720 ILCS 570/401(a)(1)(B),720 ILCS 570/401(a)(1)(B),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 400<900 GR HERO/ANLG,720 ILCS 570/401(a)(1)(C),720 ILCS 570/401(a)(1)(C),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 900+ GR HEROIN/ANALOG,720 ILCS 570/401(a)(1)(D),720 ILCS 570/401(a)(1)(D),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 200+ SCHED I&II/ANLG,720 ILCS 570/401(a)(11),720 ILCS 570/401(a)(11),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 15<100 GR COCA/ANALOG,720 ILCS 570/401(a)(2)(A),720 ILCS 570/401(a)(2)(A),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 100<400 GR COCA/ANLG,720 ILCS 570/401(a)(2)(B),720 ILCS 570/401(a)(2)(B),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 400<900 GR COCA/ANLG,720 ILCS 570/401(a)(2)(C),720 ILCS 570/401(a)(2)(C),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 900+ GR COCAINE/ANLG,720 ILCS 570/401(a)(2)(D),720 ILCS 570/401(a)(2)(D),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG 15>100 GR ECSTASY/ANALOG,720 ILCS 570/401(a)(7.5)(A)(i),720 ILCS 570/401(a)(7.5)(A)(i),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG 15>200 PILLS ECSTASY/ANLG,720 ILCS 570/401(a)(7.5)(A)(ii),720 ILCS 570/401(a)(7.5)(A)(ii),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG 900+ GRAMS ECSTASY/ANALOG,720 ILCS 570/401(a)(7.5)(D)(i),720 ILCS 570/401(a)(7.5)(D)(i),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG 1500+ PILLS ECSTASY/ANALOG,720 ILCS 570/401(a)(7.5)(D)(ii),720 ILCS 570/401(a)(7.5)(D)(ii),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MANU/DEL 10/+ GRAMS LSD/ANALOG,720 ILCS 570/401(a)(7),720 ILCS 570/401(a)(7),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
15<200 OBJECT/PARTS LSD/ANALOG,720 ILCS 570/401(a)(7)(A),720 ILCS 570/401(a)(7)(A),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
15<200 OBJECT/PARTS LSD/ANALOG,720 ILCS 570/401(a)(7)(A)(ii),720 ILCS 570/401(a)(7)(A)(ii),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 1<15 GR FENTANYL/ANLG,720 ILCS 570/401(c)(1.5),720 ILCS 570/401(c)(1.5),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 1<15 GR HEROIN/ANALOG,720 ILCS 570/401(c)(1),720 ILCS 570/401(c)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MANU/DEL 10-15 GR HEROIN/ANLG,720 ILCS 570/401(c)(1),720 ILCS 570/401(c)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 10-15 GR HEROIN/ANLG,720 ILCS 570/401(c)(1),720 ILCS 570/401(c)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 10-30 GR PCP/ANALOG,720 ILCS 570/401(c)(10),720 ILCS 570/401(c)(10),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 1<15 GR COCAINE/ANLG,720 ILCS 570/401(c)(2),720 ILCS 570/401(c)(2),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MANU/DEL 01-15 GR COCAINE/ANLG,720 ILCS 570/401(c)(2),720 ILCS 570/401(c)(2),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG 5>15 GRAMS ECSTASY/ANALOG,720 ILCS 570/401(c)(7.5)(i),720 ILCS 570/401(c)(7.5)(i),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL 10-30 GR METH/ANLG,720 ILCS 570/401(c)(9),720 ILCS 570/401(c)(9),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMT METH/ANALOG,720 ILCS 570/401(d),720 ILCS 570/401(d),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMOUNT NARCOTIC SCHED I&II,720 ILCS 570/401(d)(,720 ILCS 570/401(d)(,FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMT NARCOTIC SCHED I&II,720 ILCS 570 401(d)(i) [5097200],720 ILCS 570/401(d)(i),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMT NARCOTIC SCHED I&II,720 ILCS 570/401(d)(i),720 ILCS 570/401(d)(i),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMOUNT SCHEDULE III,720 ILCS 570/401(f),720 ILCS 570/401(f),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
OTHER AMOUNT SCHEDULE IV,720 ILCS 570/401(g),720 ILCS 570/401(g),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
ILLEGAL POSSESSION OF CONTROLLED SUBSTANCES,720 ILCS 570/402,720 ILCS 570/402,FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
18+ DEL SUB<18/PK/SCH/PUB HS,720 ILCS 570/407(b),720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
VIOLATION OF 1401(C) ON OR NEAR A SCHOOL/PARK,720 ILCS 570/407(b)(,720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL HEROIN/SCH/PUB HS/PK,720 ILCS 570 407(b)(1) [5125382],720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
MFG/DEL COCAINE/SCH/PUB HS/PK,720 ILCS 570 407(b)(1) [5125383],720 ILCS 570/407(b)(1),FX,,MANUFACTURE / DEALING: CONTROLLED SUBSTANCE,,
